city,stateAbbr,per_dem,per_gop
Tatum,NM,0.223213771662,0.708503655939
Napoleon,ND,0.169062119367,0.80113682501
Piedmont,OK,0.211149321267,0.72342081448
Palmyra,NE,0.277098502542,0.663964830334
Mounds,IL,0.275939650609,0.682503970355
Cullom,IL,0.334087938016,0.612537065969
Litchfield,MI,0.241398390342,0.708953722334
New Waverly,TX,0.309150027943,0.654270182391
La Feria,TX,0.646148315978,0.32059605246
Litchfield,MN,0.261682242991,0.664289227742
Liberal,KS,0.24258447253,0.702992004127
Elba,NY,0.283939009933,0.653476679066
Braddock,ND,0.109749872384,0.853496681981
Buffalo,SD,0.3911171307,0.537201487293
Bellaire,MI,0.327733569113,0.62400530504
Martin,TN,0.228415931393,0.742228086089
Scio,OH,0.275405482991,0.670554040477
Everetts,NC,0.151566951567,0.82792022792
Ruso,ND,0.205532078371,0.735113330772
Lewisville,MN,0.364916515792,0.556829611748
Roseboro,NC,0.409002262267,0.575746938139
Centerville,UT,0.215696391206,0.448925578773
Siren,WI,0.338112168827,0.620713384562
Groveland,FL,0.292893401015,0.68883248731
Hopkinsville,KY,0.205464560081,0.747475479538
Leesburg,GA,0.173954880787,0.806372286967
Richview,IL,0.273509430003,0.678448705506
North East,MD,0.299014394101,0.651847124725
Durham,KS,0.302313400262,0.636927106067
Nelson,IL,0.173954880787,0.806372286967
Cresco,IA,0.203405430281,0.763345605154
Murray,NE,0.193865242116,0.791142512494
Suwanee,GA,0.509562221584,0.452142585921
Harrison,ID,0.245361011375,0.670563919983
Fennville,MI,0.325131905789,0.613058219861
Connelly Springs,NC,0.114451988361,0.852570320078
Nehalem,OR,0.429907246814,0.489103385868
Lincoln,AL,0.364501174062,0.620025287495
Haleyville,AL,0.430737658192,0.55569490366
Rothschild,WI,0.384551700097,0.566602274543
Beattie,KS,0.221203087977,0.731101429336
Centerton,AR,0.327317409339,0.592845904794
Bernie,MO,0.141060400663,0.834237083898
Central City,NE,0.16212570812,0.786080388454
Gary,IN,0.292893401015,0.68883248731
Grambling,LA,0.131578947368,0.80721600381
Fairfield,KY,0.445859100279,0.503213289681
Letcher,SD,0.214603739982,0.729296527159
Plainville,GA,0.16848806366,0.804827586207
Pennington,AL,0.196346189334,0.775419819155
Traskwood,AR,0.339937434828,0.594160583942
Turney,MO,0.305478805849,0.653750252712
Badger,MN,0.2389597013,0.701815372731
Webbers Falls,OK,0.32939279957,0.621212747489
Marble Falls,TX,0.198729391998,0.766302635724
Rock Falls,IA,0.434763398577,0.511774842045
Kaukauna,WI,0.407460898218,0.533667115989
Morganton,GA,0.177330437688,0.796525225526
Tupelo,AR,0.218698381236,0.739924017179
Gonzales,CA,0.669587074351,0.272849517978
Athens,NY,0.307587077765,0.625381458487
Ferguson,IA,0.221203087977,0.731101429336
Howell,UT,0.109620497945,0.623882040126
Waterville,WA,0.511246337616,0.435294117647
Naperville,IL,0.538831130776,0.398022420319
Banks,AR,0.184152948531,0.775187539071
Kilkenny,MN,0.310957153427,0.61760947064
Havana,FL,0.679106843607,0.304406902487
DeLand,FL,0.417945940132,0.548447200197
Glen Allen,AL,0.279581220781,0.675775334167
