,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars),Geography,Estimate; INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)
444,31921.0,"Red Bay city, Alabama",44843.0
445,76842.0,"Redland CDP, Alabama",81614.0
446,37083.0,"Red Level town, Alabama",44156.0
447,71250.0,"Redstone Arsenal CDP, Alabama",88171.0
448,44938.0,"Reece City town, Alabama",65709.0
449,62500.0,"Reeltown CDP, Alabama",63174.0
450,21228.0,"Reform town, Alabama",35613.0
451,46659.0,"Rehobeth town, Alabama",58039.0
452,22500.0,"Repton town, Alabama",32932.0
453,23125.0,"Ridgeville town, Alabama",32539.0
454,31932.0,"River Falls town, Alabama",44027.0
455,55625.0,"Riverside town, Alabama",67368.0
456,37292.0,"Riverview town, Alabama",40803.0
457,36591.0,"Roanoke city, Alabama",46058.0
458,38467.0,"Robertsdale city, Alabama",50869.0
459,54500.0,"Rock Creek CDP, Alabama",63884.0
460,21429.0,"Rockford town, Alabama",30657.0
461,,"Rock Mills CDP, Alabama",33102.0
462,,"Rockville CDP, Alabama",86594.0
463,38427.0,"Rogersville town, Alabama",49196.0
464,54250.0,"Rosa town, Alabama",59191.0
465,31262.0,"Russellville city, Alabama",48042.0
466,31250.0,"Rutledge town, Alabama",46317.0
467,61250.0,"St. Florian town, Alabama",78887.0
468,77083.0,"St. Stephens CDP, Alabama",71441.0
469,40413.0,"Saks CDP, Alabama",47862.0
470,22310.0,"Samson city, Alabama",33851.0
471,50536.0,"Sand Rock town, Alabama",58016.0
472,37250.0,"Sanford town, Alabama",47521.0
473,54471.0,"Saraland city, Alabama",65282.0
474,51848.0,"Sardis City town, Alabama",65737.0
475,61836.0,"Satsuma city, Alabama",79925.0
476,40722.0,"Scottsboro city, Alabama",53542.0
477,29028.0,"Section town, Alabama",41429.0
478,23283.0,"Selma city, Alabama",37272.0
479,28689.0,"Selmont-West Selmont CDP, Alabama",30197.0
480,49667.0,"Semmes city, Alabama",52479.0
481,33869.0,"Sheffield city, Alabama",46361.0
482,31944.0,"Shelby CDP, Alabama",51410.0
483,37000.0,"Shiloh town, Alabama",53592.0
484,126597.0,"Shoal Creek CDP, Alabama",180848.0
485,38917.0,"Shorter town, Alabama",46119.0
486,30341.0,"Silas town, Alabama",42589.0
487,48021.0,"Silverhill town, Alabama",61476.0
488,,"Sims Chapel CDP, Alabama",
489,26652.0,"Sipsey town, Alabama",37161.0
490,38553.0,"Skyline town, Alabama",44639.0
491,29924.0,"Slocomb city, Alabama",43390.0
492,50597.0,"Smiths Station city, Alabama",63615.0
493,90417.0,"Smoke Rise CDP, Alabama",89006.0
494,37019.0,"Snead town, Alabama",45236.0
495,42708.0,"Somerville town, Alabama",50864.0
496,65561.0,"Southside city, Alabama",70814.0
497,27120.0,"South Vinemont town, Alabama",43303.0
498,70448.0,"Spanish Fort city, Alabama",84394.0
499,,"Spring Garden CDP, Alabama",124040.0
500,83173.0,"Springville city, Alabama",78874.0
501,,"Spruce Pine CDP, Alabama",
502,,"Standing Rock CDP, Alabama",92678.0
503,53292.0,"Stapleton CDP, Alabama",68621.0
504,32625.0,"Steele town, Alabama",43555.0
505,31603.0,"Sterrett CDP, Alabama",43792.0
506,30750.0,"Stevenson city, Alabama",40689.0
507,37734.0,"Stewartville CDP, Alabama",46796.0
508,70573.0,"Stockton CDP, Alabama",77260.0
509,29297.0,"Sulligent city, Alabama",34095.0
510,37569.0,"Sumiton city, Alabama",57127.0
511,40938.0,"Summerdale town, Alabama",48507.0
512,47857.0,"Susan Moore town, Alabama",51764.0
513,65625.0,"Sweet Water town, Alabama",81245.0
514,34568.0,"Sylacauga city, Alabama",49843.0
515,44914.0,"Sylvania town, Alabama",55598.0
516,57102.0,"Sylvan Springs town, Alabama",65598.0
517,29074.0,"Talladega city, Alabama",43251.0
518,40714.0,"Talladega Springs town, Alabama",53845.0
519,45972.0,"Tallassee city, Alabama",54045.0
520,26800.0,"Tarrant city, Alabama",39863.0
521,41806.0,"Taylor town, Alabama",47269.0
522,44583.0,"Theodore CDP, Alabama",52138.0
523,42500.0,"Thomaston town, Alabama",51262.0
524,38877.0,"Thomasville city, Alabama",60010.0
525,53315.0,"Thorsby town, Alabama",59642.0
526,,"Tibbie CDP, Alabama",
527,50000.0,"Tidmore Bend CDP, Alabama",57685.0
528,50846.0,"Tillmans Corner CDP, Alabama",57789.0
529,28750.0,"Town Creek town, Alabama",36550.0
530,46875.0,"Toxey town, Alabama",54130.0
531,27868.0,"Trafford town, Alabama",51721.0
532,46364.0,"Triana town, Alabama",60812.0
533,70568.0,"Trinity town, Alabama",77376.0
534,28148.0,"Troy city, Alabama",50972.0
535,84198.0,"Trussville city, Alabama",101689.0
536,40542.0,"Tuscaloosa city, Alabama",62185.0
